repository_id,name,default_branch,sampled_commit,sampled_commit_date_utc,assessment,movement,owner_chat_count,next_action,native_tests_run_by_this_audit
1199812615,.github,main,bcd1aac744881e1600573918973b7f9494de2153,2026-09-16T08:51:20Z,SOURCE_CONFIRMED_INSTRUCTION_CONFLICT,"Recent history adds profile content, but the pinned root README still says long pause and ARCHIVED / RETIRED.",1,Resolve the live instruction contract,False
1169608854,AgilePlus,main,3cc0c145ae6e7290df26b3782c65521d5c2c8f0e,2026-09-16T09:54:22Z,SOURCE_CONFIRMED_ASSURANCE_GAP,"Recent history adds handoffs, a REPL block-comment fix, v0.2.4 and cargo-dist build dependency/scoping changes. Pinned coverage workflow remains Python 85%, Rust 20%, Go report-only, with an echo-only aggregate claim.",1,Repair the real assurance verdict,False
861430079,BytePort,main,0b4a23b1196d1e25a1bcfb405d2a0f07e7c64fc7,2026-09-16T00:35:18Z,RECENT_LAUNCH_REPAIR_UNQUALIFIED,Two recent changes report removal of duplicate/conflicting global logger initialization in the Tauri application.,1,Verify native launch and logging,False
1308570444,CivicWarfare,main,f300fe92589995fe8a2a5cd984916cf59b7f94d4,2026-09-12T07:46:39Z,LOCAL_AND_BRANCH_PROGRESS_UNKNOWN,Sampled default history remains dependency updates in the CivicSurvival UI; no newer default-history product delivery was found in the bounded sample.,1,Return actual work coordinates,False
1164684442,Civis,main,8650471500928f047370585d8fe5c43275b18aaf,2026-09-16T09:35:26Z,SOURCE_CONFIRMED_BUILD_TARGET_GAP,"New persistence changes cover riot/migrant accumulators, scenario taxation, era progression, emergence samples and significance. A new acceptance report for older 264359af explicitly records that the gameplay precheck failed before gameplay ran.",1,"Repair artifact selection, not by deleting artifacts",False
1177712269,Dino,main,17119051e782b32615413049c1c3cd207f0b540e,2026-09-12T10:07:56Z,LOCAL_AND_BRANCH_PROGRESS_UNKNOWN,"The latest sampled default history contains dependency updates, not a newly evidenced in-game product qualification.",1,Bind the real integration target,False
1165315873,HeliosCLI,main,1615dcd44f76aea55fbd04912b27d20b3536319f,2026-09-16T10:27:00Z,RECENT_MAINTENANCE_PRODUCT_PROOF_OPEN,Recent commits expand root Dependabot coverage and update a Mergify configuration field.,1,Identify the shipped binary,False
1167587447,HeliosLab,main,863830bc5ac49348b27f0ed9e1372223cb166356,2026-09-16T10:17:51Z,SCOPE_CHANGE_REQUIRES_QUALIFICATION,Recent TypeScript configuration changes report reducing diagnostics from 3187 to about 287 by explicit include/exclude and aliases. Earlier formatting used Biome unsafe fixes across many files.,1,Inventory all effective compiler profiles,False
1226104769,HeliosLite,main,6de2d161d8a44f0b65ef7fbd243f2a287257aecc,2026-09-15T09:12:42Z,NO_NEW_DEFAULT_HEAD_LOCAL_UNKNOWN,Sampled head is unchanged from the prior baseline. Recent recorded work contains share/LSP shell E2E and author-reported local passes plus named inherited CI failures.,1,Reconcile current work and gate ownership,False
1365855438,KCode,master,88a996e030c203e776b31ca61720d09b362d787a,2026-09-15T23:00:41Z,REPORTED_PARTIAL_TEST_RESULT,"Latest work adds HERDR idle debounce, retry-grace/error-hold and overrides; the preceding handoff reports 258/266 passing tests.",1,Reconcile reported failures and installed fork,False
1322607630,Khostty,main,79e27b63f96669b26f1346a1b9985c327311bd6e,2026-09-15T04:39:50Z,LOCAL_AND_BRANCH_PROGRESS_UNKNOWN,The bounded latest default history is README/badge changes. No new terminal implementation is demonstrated by that sample.,1,Identify owned delta and distribution,False
1349458262,KooshaPari,main,9ac2bdb938453e67858e451867613224365ea85b,2026-09-15T08:51:22Z,PUBLICATION_PROOF_OPEN,Latest sampled commit absorbs an incubating site/project; no current production-domain verification was performed here.,1,Reconcile site and profile ownership,False
1262466303,Melosviz,main,edbbd40016680bc430d26fb0d4a2a73999cd8ba5,2026-09-16T10:01:17Z,PIPELINE_REHEARSAL_NOT_PRODUCT_PROOF,"New director/storyboard tests accompany an offline pipeline that creates solid-colour placeholder MP4 clips via FFmpeg, then assembles/masters/ships them. The source explicitly labels the generation as placeholder.",1,Type and label backend outcomes,False
1226171396,OmniRoute,main,863b427a0077fb6a8efe350412f510521389b833,2026-09-16T08:34:53Z,RECENT_REFACTOR_CONSUMER_PARITY_OPEN,PR745 is recorded as merged. The preceding refactor extracts 13 provider handlers from route.ts into handler modules; reported line reduction and lint success are not behavioral parity.,1,Verify handler dispatch parity,False
1272990345,PhenoApps,apps-extract,be4194594f35604782c8456de2057d98f3df66bb,2026-09-15T23:07:09Z,COLLECTION_INTEGRATION_OPEN,"Default branch is apps-extract, not main. Recent sampled commits absorb NetWeave; collection-level capability and release completeness were not established.",1,Build the per-application atlas,False
1169864396,PhenoDesign,main,d11733b1525cb97e045dc7f8d67a05df5501f6c1,2026-09-09T07:55:14Z,CURRENT_ASSET_SOURCE_UNRESOLVED,"Sampled default history remains workflow formatting/security fixes. Other products mention design-v3 guidance, but its actual editable asset/source location was not validated here.",1,Locate actual source and consumers,False
1363521465,PhenoFabric,main,3c052cc28d80b5dcc0170e56c7364311373390de,2026-09-16T05:27:34Z,UI_AUTH_INTEGRATION_PRODUCT_PATH_OPEN,Recent commits replace bespoke/demo login UI with hosted AuthKit integration and desktop authentication commands. Actual successful authentication and two-node I/O were not executed here.,1,Qualify the actual authentication contract,False
